timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1
1531743875.3497133,,,0.467499400349,,
1531743875.3497252,,,,,-0.0210288628751
1531743875.3497276,,0.0158173889563,,,
1531743875.3497279,,,,0.29142064069,
1531743875.3497345,-0.39150769356,,,,
1531743875.4497929,,,0.528657065557,,
1531743875.4498053,,,,,-0.040115711983800005
1531743875.4498074,,-0.00187816646969,,,
1531743875.4498081,,,,0.2886224805,
1531743875.4498146,-0.323235128846,,,,
1531743875.5498734,,,0.622033608051,,
1531743875.5498855,,,,,-0.060453501396
1531743875.5498881,,-0.011083961395,,,
1531743875.5498884,,,,0.28368680929900003,
1531743875.5498948,-0.266132004835,,,,
1531743875.6499536,,,0.712775449805,,
1531743875.6499655,,,,,-0.076489543897
1531743875.649968,,-0.0152122232516,,,
1531743875.6499686,,,,0.277268554918,
1531743875.6499748,-0.222558664824,,,,
1531743875.7500336,,,0.77542498094,,
1531743875.7500455,,,,,-0.0860343131186
1531743875.7500482,,-0.016919963982799997,,,
1531743875.7500484,,,,0.272473677672,
1531743875.7500546,-0.181095133565,,,,
1531743875.8501134,,,0.8309865545630001,,
1531743875.8501258,,,,,-0.0907771348095
1531743875.850128,,-0.0139721519852,,,
1531743875.8501284,,,,0.272737364495,
1531743875.8501348,-0.126670558498,,,,
1531743875.9501936,,,0.8875107992799999,,
1531743875.9502056,,,,,-0.114346768379
1531743875.9502082,,-0.036558153646,,,
1531743875.950209,,,,0.264812810647,
1531743875.9502153,-0.060623562318,,,,
1531743876.0502734,,,0.917442613259,,
1531743876.0502858,,,,,-0.146005510188
1531743876.0502882,,-0.049353632295900014,,,
1531743876.0502887,,,,0.266640354577,
1531743876.0502956,0.023313867733200003,,,,
1531743876.1503534,,,0.923756246933,,
1531743876.1503658,,,,,-0.17747484113200002
1531743876.1503682,,-0.043984516408900005,,,
1531743876.1503687,,,,0.274993078758,
1531743876.1503751,0.0938151294445,,,,
1531743876.2504337,,,0.923756246933,,
1531743876.250446,,,,,-0.19640003344
1531743876.2504485,,-0.0275853190596,,,
1531743876.250449,,,,0.284218736164,
1531743876.2504554,0.135850639282,,,,
1531743876.3505142,,,0.923756246933,,
1531743876.350526,,,,,-0.19602839215300005
1531743876.3505285,,-0.0104598022124,,,
1531743876.350529,,,,0.29370706788,
1531743876.3505356,0.156646766043,,,,
1531743876.450594,,,0.923756246933,,
1531743876.450606,,,,,-0.17993179493900002
1531743876.4506085,,0.00297990083687,,,
1531743876.450609,,,,0.306958320312,
1531743876.4506154,0.18199736528,,,,
1531743876.550674,,,0.920050531639,,
1531743876.5506866,,,,,-0.158921718698
1531743876.5506887,,0.0145854349333,,,
1531743876.550689,,,,0.325736973253,
1531743876.5506954,0.228388517358,,,,
1531743876.650754,,,0.918846428676,,
1531743876.6507664,,,,,-0.143156220613
1531743876.6507688,,0.022330979994,,,
1531743876.650769,,,,0.344261552087,
1531743876.6507757,0.290660782268,,,,
1531743876.7508342,,,0.918846428676,,
1531743876.7508464,,,,,-0.148244880568
1531743876.7508488,,0.0451617709596,,,
1531743876.7508492,,,,0.353285866377,
1531743876.7508554,0.313380979504,,,,
1531743876.8509142,,,0.918846428676,,
1531743876.8509266,,,,,-0.14759469128
1531743876.8509288,,0.0659949772673,,,
1531743876.8509293,,,,0.36018333626000004,
1531743876.8509355,0.332272755898,,,,
1531743876.9509945,,,0.918846428676,,
1531743876.9510071,,,,,-0.137059538214
1531743876.951009,,0.0837370876236,,,
1531743876.9510093,,,,0.367601570199,
1531743876.9510155,0.348518469675,,,,
1531743877.0510745,,,0.918846428676,,
1531743877.0510867,,,,,-0.120170302191
1531743877.051089,,0.0986994650172,,,
1531743877.0510895,,,,0.378492417679,
1531743877.0510962,0.36509620151,,,,
1531743877.1511545,,,0.910033060899,,
1531743877.151167,,,,,-0.103415841498
1531743877.1511693,,0.112332137229,,,
1531743877.1511695,,,,0.39340852458,
1531743877.151176,0.384026401038,,,,
1531743877.2512345,,,0.902710824417,,
1531743877.2512467,,,,,-0.0910551589035
1531743877.2512493,,0.126359907411,,,
1531743877.2512493,,,,0.410084374845,
1531743877.251256,0.4031702849180001,,,,
1531743877.3513145,,,0.8782413941030001,,
1531743877.3513267,,,,,-0.0828177713449
1531743877.3513293,,0.137484137388,,,
1531743877.3513296,,,,0.424233639181,
1531743877.351336,0.414843759024,,,,
1531743877.4513948,,,0.8406245365999999,,
1531743877.451407,,,,,-0.07454220568230001
1531743877.451409,,0.133318257777,,,
1531743877.4514098,,,,0.431031920445,
1531743877.4514165,0.412060610271,,,,
1531743877.5514748,,,0.800134005819,,
1531743877.5514872,,,,,-0.0606527437029
1531743877.5514894,,0.100515224154,,,
1531743877.5514898,,,,0.4263463036370001,
1531743877.5514965,0.394210332011,,,,
1531743877.6515546,,,0.723666491602,,
1531743877.6515672,,,,,-0.035114730903800004
1531743877.6515696,,0.0361608087703,,,
1531743877.6515698,,,,0.412168755357,
1531743877.6515765,0.373804394839,,,,
1531743877.7516348,,,0.610656339779,,
1531743877.7516472,,,,,0.00126596497958
1531743877.7516494,,-0.0470868453795,,,
1531743877.75165,,,,0.401259511249,
1531743877.7516565,0.384247628236,,,,
1531743877.8517153,,,0.572351155994,,
1531743877.8517275,,,,,-0.0172296621066
1531743877.8517294,,0.08480938774039999,,,
1531743877.85173,,,,0.403891945066,
1531743877.8517365,0.494501535229,,,,
1531743877.9517953,,,0.524765275936,,
1531743877.9518075,,,,,-0.063235412571
1531743877.95181,,0.15835320417999998,,,
1531743877.95181,,,,0.4057890597380001,
1531743877.9518163,0.540603779626,,,,
1531743878.051875,,,0.489303633574,,
1531743878.0518875,,,,,-0.138484898359
1531743878.0518901,,0.238236415077,,,
1531743878.0518901,,,,0.391779800236,
1531743878.0518966,0.523524492034,,,,
1531743878.1519554,,,0.391977096456,,
1531743878.1519678,,,,,-0.227842279879
1531743878.15197,,0.338592175764,,,
1531743878.15197,,,,0.357492990755,
1531743878.1519768,0.452511057091,,,,
1531743878.2520356,,,0.418421319413,,
1531743878.2520475,,,,,-0.211987206641
1531743878.25205,,0.35151937352,,,
1531743878.2520506,,,,0.327655152119,
1531743878.2520568,0.440818878047,,,,
1531743878.3521154,,,0.446889754764,,
1531743878.3521278,,,,,-0.199193092354
1531743878.3521302,,0.351922870213,,,
1531743878.3521304,,,,0.298897833471,
1531743878.3521366,0.440039056433,,,,
1531743878.4521954,,,0.446889754764,,
1531743878.452208,,,,,-0.194498381426
1531743878.4522102,,0.337301450644,,,
1531743878.4522107,,,,0.276890449401,
1531743878.4522169,0.435859350756,,,,
1531743878.5522757,,,0.446889754764,,
1531743878.552288,,,,,-0.201069242764
1531743878.5522902,,0.311563442948,,,
1531743878.552291,,,,0.261184571207,
1531743878.5522974,0.428224850027,,,,
1531743878.6523554,,,0.476147334177,,
1531743878.652368,,,,,-0.216053815626
1531743878.6523705,,0.282218565667,,,
1531743878.6523707,,,,0.254566089669,
1531743878.6523776,0.42230548722,,,,
1531743878.7524354,,,0.517849750748,,
1531743878.752448,,,,,-0.230988626999
1531743878.7524507,,0.256283649267,,,
1531743878.7524507,,,,0.264713976144,
1531743878.7524571,0.420520076553,,,,
1531743878.8525155,,,0.596153230158,,
1531743878.8525286,,,,,-0.239873147839
1531743878.8525305,,0.232582995498,,,
1531743878.8525307,,,,0.291450415081,
1531743878.8525374,0.418538324116,,,,
1531743878.9525955,,,0.691483908648,,
1531743878.9526086,,,,,-0.24439075853
1531743878.9526107,,0.209612581785,,,
1531743878.952611,,,,0.322560356333,
1531743878.9526176,0.412895571754,,,,
1531743879.052676,,,0.691483908648,,
1531743879.0526884,,,,,-0.24439075853
1531743879.0526907,,0.209612581785,,,
1531743879.052691,,,,0.322560356333,
1531743879.0526974,0.412895571754,,,,
1531743879.152756,,,0.691483908648,,
1531743879.1527686,,,,,-0.24439075853
1531743879.1527708,,0.209612581785,,,
1531743879.152771,,,,0.322560356333,
1531743879.1527774,0.412895571754,,,,
1531743879.252836,,,0.691483908648,,
1531743879.2528484,,,,,-0.24439075853
1531743879.2528508,,0.209612581785,,,
1531743879.252851,,,,0.322560356333,
1531743879.2528574,0.412895571754,,,,
1531743879.352916,,,0.681142989039,,
1531743879.3529284,,,,,-0.243344736089
1531743879.352931,,0.184300473175,,,
1531743879.3529313,,,,0.314677601633,
1531743879.3529375,0.389837583842,,,,
1531743879.4529965,,,0.6790931489669999,,
1531743879.453009,,,,,-0.242657013657
1531743879.453011,,0.174450846221,,,
1531743879.4530113,,,,0.307521738135,
1531743879.4530175,0.381765312459,,,,
1531743879.5530765,,,0.6790931489669999,,
1531743879.5530887,,,,,-0.245335771904
1531743879.553091,,0.160840467995,,,
1531743879.5530913,,,,0.302215461507,
1531743879.5530975,0.385407278115,,,,
1531743879.6531565,,,0.6790931489669999,,
1531743879.6531687,,,,,-0.252907629489
1531743879.6531713,,,,0.303980535529,
1531743879.6531713,,0.127171359215,,,
1531743879.653178,0.391644767927,,,,
1531743879.7532365,,,0.6790931489669999,,
1531743879.7532492,,,,,-0.269111929866
1531743879.753251,,0.069326195331,,,
1531743879.7532516,,,,0.318884272739,
1531743879.753258,0.391790588111,,,,
1531743879.8533163,,,0.677862203396,,
1531743879.8533292,,,,,-0.29484451377500004
1531743879.8533313,,-0.00345647661353,,,
1531743879.8533313,,,,0.34499997057899995,
1531743879.853338,0.383941845433,,,,
1531743879.9533966,,,0.658925342731,,
1531743879.9534092,,,,,-0.325541184273
1531743879.9534113,,-0.0731536566033,,,
1531743879.9534116,,,,0.379368384158,
1531743879.953418,0.3785588254990001,,,,
1531743880.0534766,,,0.658925342731,,
1531743880.0534892,,,,,-0.346649656437
1531743880.0534914,,-0.117538520706,,,
1531743880.0534918,,,,0.424163881292,
1531743880.0534985,0.380511588345,,,,
1531743880.1535568,,,0.658925342731,,
1531743880.1535695,,,,,-0.346649656437
1531743880.1535714,,-0.117538520706,,,
1531743880.1535714,,,,0.424163881292,
1531743880.1535785,0.380511588345,,,,
1531743880.2536368,,,0.658925342731,,
1531743880.2536495,,,,,-0.346649656437
1531743880.2536516,,-0.117538520706,,,
1531743880.2536519,,,,0.424163881292,
1531743880.2536585,0.380511588345,,,,
1531743880.3537169,,,0.658925342731,,
1531743880.3537295,,,,,-0.346649656437
1531743880.353732,,,,0.424163881292,
1531743880.353732,,-0.117538520706,,,
1531743880.3537385,0.380511588345,,,,
1531743880.4537964,,,0.658925342731,,
1531743880.4538095,,,,,-0.346649656437
1531743880.453812,,-0.117538520706,,,
1531743880.453812,,,,0.424163881292,
1531743880.4538186,0.380511588345,,,,
1531743880.5538776,,,0.658925342731,,
1531743880.5538898,,,,,-0.346649656437
1531743880.553892,,-0.117538520706,,,
1531743880.553892,,,,0.424163881292,
1531743880.5538983,0.380511588345,,,,
1531743880.6539571,,,0.658925342731,,
1531743880.6539698,,,,,-0.346649656437
1531743880.6539721,,-0.117538520706,,,
1531743880.6539721,,,,0.424163881292,
1531743880.6539786,0.380511588345,,,,
1531743880.7540376,,,0.658925342731,,
1531743880.75405,,,,,-0.346649656437
1531743880.7540526,,,,0.424163881292,
1531743880.7540526,,-0.117538520706,,,
1531743880.7540588,0.380511588345,,,,
1531743880.8541172,,,0.388958487765,,
1531743880.85413,,,,,-0.281251816736
1531743880.8541322,,-0.136299152801,,,
1531743880.8541324,,,,0.157614768941,
1531743880.8541384,0.973381154111,,,,
1531743880.9541974,,,0.40548735348,,
1531743880.95421,,,,,-0.270004427348
1531743880.9542122,,-0.125509645807,,,
1531743880.9542124,,,,0.190966778717,
1531743880.9542189,0.957502014718,,,,
1531743881.0542774,,,0.411933011191,,
1531743881.0542905,,,,,-0.270267723661
1531743881.0542927,,,,0.217980771779,
1531743881.0542927,,-0.121910513571,,,
1531743881.0542989,0.929924903684,,,,
1531743881.1543574,,,0.429718448069,,
1531743881.1543705,,,,,-0.284971194071
1531743881.1543725,,,,0.24012042290600005,
1531743881.1543725,,-0.117717117832,,,
1531743881.1543796,0.894621049453,,,,
1531743881.2544374,,,0.436675358086,,
1531743881.2544506,,,,,-0.304567737733
1531743881.2544525,,-0.10808235476,,,
1531743881.2544527,,,,0.257468018288,
1531743881.2544591,0.859352398724,,,,
1531743881.3545175,,,0.436675358086,,
1531743881.3545306,,,,,-0.314326600451
1531743881.3545327,,,,0.267530247597,
1531743881.3545327,,-0.0970620190171,,,
1531743881.3545392,0.830716936968,,,,
1531743881.4545975,,,0.436675358086,,
1531743881.4546106,,,,,-0.30738219079100004
1531743881.4546127,,,,0.268902171899,
1531743881.4546127,,-0.08206732912539999,,,
1531743881.4546196,0.810317870425,,,,
1531743881.5546775,,,0.442030993165,,
1531743881.5546904,,,,,-0.287797345019
1531743881.5546927,,-0.0634751335486,,,
1531743881.554693,,,,0.264234648289,
1531743881.5546994,0.795753033677,,,,
1531743881.654758,,,0.483196723712,,
1531743881.6547706,,,,,-0.264628359775
1531743881.6547728,,-0.0448584088819,,,
1531743881.654773,,,,0.258552559077,
1531743881.6547794,0.7845292464489999,,,,
1531743881.754838,,,0.528564595628,,
1531743881.7548509,,,,,-0.244814474987
1531743881.754853,,,,0.257540696327,
1531743881.754853,,-0.035803652500800004,,,
1531743881.7548597,0.7771977660539999,,,,
1531743881.854918,,,0.578060812521,,
1531743881.8549304,,,,,-0.231290888706
1531743881.854933,,,,0.26153701456,
1531743881.854933,,-0.0353782911527,,,
1531743881.8549395,0.774972455921,,,,
1531743881.954998,,,0.597905567971,,
1531743881.9550107,,,,,-0.225110451212
1531743881.955013,,-0.033599535655400005,,,
1531743881.9550133,,,,0.266323151481,
1531743881.9550195,0.7762516195970001,,,,
1531743882.0550785,,,0.668656957388,,
1531743882.0550911,,,,,-0.226015464061
1531743882.055093,,,,0.277390513025,
1531743882.055093,,-0.0143643084654,,,
1531743882.0550995,0.755042236212,,,,
1531743882.1551585,,,0.742057712359,,
1531743882.1551714,,,,,-0.228302290026
1531743882.1551733,,,,0.280960480903,
1531743882.1551733,,0.0185204259658,,,
1531743882.1551795,0.726518620924,,,,
1531743882.2552385,,,0.758705090219,,
1531743882.2552512,,,,,-0.234603634451
1531743882.2552533,,,,0.279453885614,
1531743882.2552533,,0.0527710159996,,,
1531743882.25526,0.6867274108920001,,,,
1531743882.3553185,,,0.76266671409,,
1531743882.3553314,,,,,-0.245842432239
1531743882.355333,,0.0831516816998,,,
1531743882.3553336,,,,0.27869421092,
1531743882.35534,0.637209240869,,,,
1531743882.4553983,,,0.76266671409,,
1531743882.4554114,,,,,-0.260588284211
1531743882.4554136,,,,0.282177374499,
1531743882.4554136,,0.10812533619,,,
1531743882.45542,0.587290219746,,,,
1531743882.5554786,,,0.76266671409,,
1531743882.5554914,,,,,-0.274012276712
1531743882.5554936,,,,0.287598619634,
1531743882.5554936,,0.129858620973,,,
1531743882.5555005,0.5467536386649999,,,,
1531743882.6555586,,,0.76266671409,,
1531743882.6555715,,,,,-0.282211062474
1531743882.6555734,,,,0.29006182893800003,
1531743882.6555734,,0.151489986529,,,
1531743882.6555805,0.522075932737,,,,
1531743882.7556384,,,0.76266671409,,
1531743882.7556515,,,,,-0.286507134363
1531743882.7556539,,,,0.286041401294,
1531743882.7556539,,0.175174103193,,,
1531743882.7556605,0.514829934892,,,,
1531743882.8557189,,,0.76266671409,,
1531743882.8557315,,,,,-0.294617913381
1531743882.8557339,,,,0.277780018829,
1531743882.8557339,,0.200438124702,,,
1531743882.8557405,0.528680048707,,,,
1531743882.9557989,,,0.76266671409,,
1531743882.9558115,,,,,-0.3130037498
1531743882.9558141,,,,0.270861198562,
1531743882.9558141,,0.220538558246,,,
1531743882.9558206,0.564398858911,,,,
1531743883.0558784,,,0.76266671409,,
1531743883.055892,,,,,-0.34410310005
1531743883.055894,,0.23008896622,,,
1531743883.055894,,,,0.27009273091200003,
1531743883.0559006,0.60556008442,,,,
1531743883.155959,,,0.76266671409,,
1531743883.155972,,,,,-0.383058183709
1531743883.155974,,,,0.274211216892,
1531743883.155974,,0.230176207939,,,
1531743883.1559806,0.626063996333,,,,
1531743883.2560391,,,0.76266671409,,
1531743883.256052,,,,,-0.418386646673
1531743883.2560544,,,,0.279985918066,
1531743883.2560544,,0.230408309377,,,
1531743883.2560606,0.616550944431,,,,
1531743883.3561196,,,0.7522654218070001,,
1531743883.3561325,,,,,-0.436098738217
1531743883.3561342,,,,0.286097230279,
1531743883.3561342,,0.239615177579,,,
1531743883.3561409,0.591915002412,,,,
1531743883.4561992,,,0.730652878724,,
1531743883.4562125,,,,,-0.466518661145
1531743883.4562144,,,,0.28291838936700003,
1531743883.4562144,,0.252946793631,,,
1531743883.4562206,0.573160803079,,,,
1531743883.5562794,,,0.7249649642,,
1531743883.5562925,,,,,-0.489149992444
1531743883.5562944,,,,0.283983614124,
1531743883.5562944,,0.261167871868,,,
1531743883.5563009,0.554573208999,,,,
1531743883.6563597,,,0.7098037302779999,,
1531743883.6563725,,,,,-0.5013021498319999
1531743883.6563745,,,,0.29163385346500004,
1531743883.6563745,,0.261768465197,,,
1531743883.6563814,0.5499533507850001,,,,
1531743883.7564394,,,0.622912681611,,
1531743883.7564526,,,,,-0.506038193655
1531743883.7564545,,,,0.302175631105,
