timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1531743875.3729846,852.09979248,838.940002441,834.0050048830001,834.0050048830001
1531743875.377533,842.229919434,834.0050048830001,837.29498291,837.29498291
1531743875.3820815,847.164855957,840.584960938,843.874938965,830.715087891
1531743875.3866305,852.09979248,840.584960938,837.29498291,838.940002441
1531743875.3911793,845.519897461,832.360046387,827.425109863,832.360046387
1531743875.3957276,850.454833984,832.360046387,834.0050048830001,827.425109863
1531743875.4002762,848.809875488,832.360046387,838.940002441,830.715087891
1531743875.404825,840.584960938,830.715087891,840.584960938,832.360046387
1531743875.4093735,847.164855957,837.29498291,840.584960938,834.0050048830001
1531743875.4139225,842.229919434,838.940002441,832.360046387,834.0050048830001
1531743875.4184706,850.454833984,835.650024414,837.29498291,835.650024414
1531743875.4230196,855.3897705080001,838.940002441,837.29498291,840.584960938
1531743875.4275682,853.744812012,837.29498291,840.584960938,840.584960938
1531743875.4321167,857.0347290039999,835.650024414,838.940002441,838.940002441
1531743875.4366655,860.3247070310001,840.584960938,842.229919434,843.874938965
1531743875.441214,857.0347290039999,837.29498291,835.650024414,840.584960938
1531743875.4457624,860.3247070310001,838.940002441,822.49017334,832.360046387
1531743875.4503114,853.744812012,837.29498291,832.360046387,827.425109863
1531743875.45486,847.164855957,834.0050048830001,830.715087891,824.135131836
1531743875.4594088,845.519897461,838.940002441,842.229919434,827.425109863
1531743875.4639573,852.09979248,840.584960938,843.874938965,827.425109863
1531743875.468506,858.679748535,843.874938965,840.584960938,835.650024414
1531743875.4730544,852.09979248,843.874938965,838.940002441,832.360046387
1531743875.4776034,852.09979248,840.584960938,837.29498291,830.715087891
1531743875.482152,852.09979248,842.229919434,838.940002441,830.715087891
1531743875.4867005,847.164855957,834.0050048830001,835.650024414,824.135131836
1531743875.4912493,853.744812012,835.650024414,835.650024414,825.7801513669999
1531743875.495798,857.0347290039999,837.29498291,832.360046387,829.070068359
1531743875.5003464,847.164855957,837.29498291,829.070068359,830.715087891
1531743875.5048952,855.3897705080001,838.940002441,835.650024414,832.360046387
